,STATION,LINENAME,LAT,LON,SYSTEM,NET_ENTRIES,CROWD_INDEX
433,145 ST,3,40.820402,-73.936315,MTA,143355.0,4.424366881831094
434,ATLANTIC AV,L,40.675496,-73.902819,MTA,142313.0,4.415151610123106
435,215 ST,1,40.869359,-73.915329,MTA,141815.0,4.410723526160818
436,BEACH 60 ST,A,40.592334,-73.788493,MTA,141345.0,4.40653012465301
437,BEACH 44 ST,A,40.593214,-73.776433,MTA,139219.0,4.387385814480199
438,104 ST,A,40.681745,-73.837631,MTA,137758.0,4.374059482416909
439,21 ST,G,40.743973,-73.949876,MTA,136908.0,4.366241125309587
440,104 ST,JZ,40.695184,-73.844326,MTA,133739.0,4.336658346653616
441,PARK PLACE,S,40.67491,-73.957794,MTA,133642.0,4.335741828009367
442,BEACH 25 ST,A,40.600138,-73.76152,MTA,126927.0,4.270621057042443
443,AVENUE P,F,40.609147,-73.972986,MTA,121395.0,4.2143300616378
444,NEPTUNE AV,F,40.580992,-73.974531,MTA,104995.0,4.030993903912257
445,ROCKAWAY PARK B,AS,40.580454,-73.837459,MTA,103690.0,4.01519507001545
446,39 AV,NQW,40.753076,-73.93271,MTA,99807.0,3.966982288219195
447,CYPRESS HILLS,J,40.689945,-73.872564,MTA,97404.0,3.9361969290823366
448,BOTANIC GARDEN,2345S,40.670499,-73.958759,MTA,96693.0,3.926942432182969
449,121 ST,JZ,40.700536,-73.828382,MTA,89101.0,3.823650475779645
450,NEWARK HM HE,1,40.734595,-74.163987,PATH,83300.0,3.73860970983692
451,E 143/ST MARY'S,6,40.808742,-73.90769,MTA,71845.0,3.551735892508431
452,AVENUE I,F,40.625305,-73.975732,MTA,69441.0,3.508744912604782
453,AVENUE U,F,40.596065,-73.973329,MTA,68203.0,3.486021415728503
454,BEACH 36 ST,A,40.595381,-73.768194,MTA,64221.0,3.410029814337572
455,TOMPKINSVILLE,1,40.636948,-74.074824,MTA,61852.0,3.3625516203893766
456,BEACH 98 ST,AS,40.585514,-73.820143,MTA,57716.0,3.2751259507631976
457,BEACH 105 ST,AS,40.583542,-73.82643,MTA,44663.0,2.951256854917582
458,BAY PKWY,F,40.620907,-73.975453,MTA,39296.0,2.789539349894916
459,BROAD CHANNEL,AS,40.608693,-73.816068,MTA,20984.0,1.9970587363352112
460,86 ST,BC,40.785822,-73.968952,MTA,12562.0,1.3489342189717626
461,ORCHARD BEACH,6,40.852417,-73.828082,MTA,9530.0,1.0
